year,ecode_dest,economy_dest,region_dest,ecode_source,economy_source,value,share,rank,value_million
2003,BOL,Bolivia,Latin America & Caribbean,FRA,France,0.18313492,0.1636942294216168,3,183.13492
2003,BOL,Bolivia,Latin America & Caribbean,BRA,Brazil,0.063212,0.056501729054181694,4,63.212
2003,BOL,Bolivia,Latin America & Caribbean,KOR,"Korea, Rep.",0.058623997,0.05240076559145669,5,58.623996999999996
2003,BOL,Bolivia,,OTH,Others,0.14537724600000002,0.12994472195366577,6,145.377246
2003,BRA,Brazil,Latin America & Caribbean,USA,United States,29.553,0.28519897398614774,1,29553.0
2003,BRA,Brazil,Latin America & Caribbean,ESP,Spain,29.413994,0.2838575071781107,2,29413.994
2003,BRA,Brazil,Latin America & Caribbean,FRA,France,6.817671000000001,0.06579341434626312,3,6817.671
2003,BRA,Brazil,Latin America & Caribbean,NLD,Netherlands,5.956558,0.057483308973335374,4,5956.558
2003,BRA,Brazil,Latin America & Caribbean,DEU,Germany,5.1934536,0.05011902812454456,5,5193.4536
2003,BRA,Brazil,,OTH,Others,26.68771581939,0.25754776739159857,6,26687.71581939
2003,BRB,Barbados,Latin America & Caribbean,CAN,Canada,19.880842,0.9395322332083766,1,19880.842
2003,BRB,Barbados,Latin America & Caribbean,USA,United States,0.984,0.04650204038023352,2,984.0
2003,BRB,Barbados,Latin America & Caribbean,NLD,Netherlands,0.13842474,0.006541700049901754,3,138.42473999999999
2003,BRB,Barbados,Latin America & Caribbean,DEU,Germany,0.13387794,0.006326826597461871,4,133.87794
2003,BRB,Barbados,Latin America & Caribbean,PRT,Portugal,0.0227807199999999,0.0010765751639540536,5,22.7807199999999
2003,BRB,Barbados,,OTH,Others,0.000436424,2.062460007205593e-05,6,0.436424
2003,BRN,Brunei Darussalam,East Asia & Pacific,NZL,New Zealand,0.23140024,0.8423553829232638,1,231.40024
2003,BRN,Brunei Darussalam,East Asia & Pacific,SGP,Singapore,0.03610066,0.13141553041640128,2,36.10066
2003,BRN,Brunei Darussalam,East Asia & Pacific,DEU,Germany,0.0050519977,0.018390549020653343,3,5.051997699999999
2003,BRN,Brunei Darussalam,East Asia & Pacific,KOR,"Korea, Rep.",0.001922261,0.006997516081804652,4,1.922261
2003,BRN,Brunei Darussalam,East Asia & Pacific,CHN,China,0.00013,0.00047323287037223595,5,0.12999999999999998
2003,BRN,Brunei Darussalam,,OTH,Others,0.00010103383,0.00036778868750461945,6,0.10103382999999999
2003,BTN,Bhutan,South Asia,USA,United States,0.004,1.0,1,4.0
2003,BWA,Botswana,Sub-Saharan Africa,ZAF,South Africa,0.14156627,0.8410839425911367,1,141.56627
2003,BWA,Botswana,Sub-Saharan Africa,PRT,Portugal,0.02164781,0.12861556204923558,2,21.64781
2003,BWA,Botswana,Sub-Saharan Africa,USA,United States,0.003,0.01782382079978098,3,3.0
2003,BWA,Botswana,Sub-Saharan Africa,CHN,China,0.0021,0.012476674559846685,4,2.1
2003,CAF,Central African Republic,Sub-Saharan Africa,MAR,Morocco,0.0026971736,0.8143080505699548,1,2.6971736
2003,CAF,Central African Republic,Sub-Saharan Africa,KOR,"Korea, Rep.",0.000615054,0.18569194943004522,2,0.615054
2003,CAN,Canada,North America,USA,United States,187.953,0.7123211869275968,1,187953.0
2003,CAN,Canada,North America,FRA,France,28.547576,0.10819217155472792,2,28547.576
2003,CAN,Canada,North America,GBR,United Kingdom,15.235991,0.05774272926283796,3,15235.991
2003,CAN,Canada,North America,NLD,Netherlands,10.137339,0.03841939925815187,4,10137.339
2003,CAN,Canada,North America,DEU,Germany,6.710316,0.02543135921096893,5,6710.316
2003,CAN,Canada,,OTH,Others,15.275682000165999,0.05789315378571648,6,15275.682000165998
2003,CHE,Switzerland,Europe & Central Asia,USA,United States,92.75,0.34010338297296233,1,92750.0
2003,CHE,Switzerland,Europe & Central Asia,NLD,Netherlands,43.606824,0.15990111442702495,2,43606.824
2003,CHE,Switzerland,Europe & Central Asia,GBR,United Kingdom,39.10815,0.14340500395486852,3,39108.15
2003,CHE,Switzerland,Europe & Central Asia,FRA,France,23.455162,0.08600733093669943,4,23455.162
2003,CHE,Switzerland,Europe & Central Asia,DEU,Germany,19.992018,0.0733083876469688,5,19992.018
2003,CHE,Switzerland,,OTH,Others,53.79904101735,0.19727478006147595,6,53799.04101735
2003,CHI,Channel Islands,Europe & Central Asia,NZL,New Zealand,0.3146003,1.0,1,314.6003
2003,CHL,Chile,Latin America & Caribbean,ESP,Spain,9.784456,0.30618462903155386,1,9784.456
2003,CHL,Chile,Latin America & Caribbean,USA,United States,9.021,0.28229382793418945,2,9021.0
2003,CHL,Chile,Latin America & Caribbean,CAN,Canada,4.6610957,0.14585949978057755,3,4661.0957
2003,CHL,Chile,Latin America & Caribbean,GBR,United Kingdom,3.4248408,0.107173419742511,4,3424.8408
2003,CHL,Chile,Latin America & Caribbean,NZL,New Zealand,1.7764518,0.05559044216412605,5,1776.4518
2003,CHL,Chile,,OTH,Others,3.28822100265,0.10289818134704211,6,3288.2210026499997
2003,CHN,China,East Asia & Pacific,HKG,"Hong Kong SAR, China",115.88303,0.5284362376838454,1,115883.03
2003,CHN,China,East Asia & Pacific,TWN,"Taiwan, China",34.30857,0.1564499275788081,2,34308.57
2003,CHN,China,East Asia & Pacific,JPN,Japan,15.277568,0.06966697845991005,3,15277.568000000001
2003,CHN,China,East Asia & Pacific,SGP,Singapore,11.651047,0.053129741617540145,4,11651.047
2003,CHN,China,East Asia & Pacific,USA,United States,11.261,0.05135109491491362,5,11261.0
2003,CHN,China,,OTH,Others,30.91303799809,0.14096601974498277,6,30913.03799809
2003,CIV,Côte d'Ivoire,Sub-Saharan Africa,FRA,France,0.37005884,0.410250020156137,1,370.05884
2003,CIV,Côte d'Ivoire,Sub-Saharan Africa,USA,United States,0.215,0.2383506210352101,2,215.0
2003,CIV,Côte d'Ivoire,Sub-Saharan Africa,NLD,Netherlands,0.16557922,0.18356237170942177,3,165.57922
2003,CIV,Côte d'Ivoire,Sub-Saharan Africa,CHE,Switzerland,0.0763198299999999,0.08460873896651923,4,76.3198299999999
2003,CIV,Côte d'Ivoire,Sub-Saharan Africa,KOR,"Korea, Rep.",0.037850147,0.0419609583429023,5,37.850147
2003,CIV,Côte d'Ivoire,,OTH,Others,0.03722443544,0.041267289789809695,6,37.22443544
2003,CMR,Cameroon,Sub-Saharan Africa,FRA,France,0.5456156999999999,0.5416859504360656,1,545.6157
2003,CMR,Cameroon,Sub-Saharan Africa,USA,United States,0.242,0.2402570160747352,2,242.0
2003,CMR,Cameroon,Sub-Saharan Africa,NLD,Netherlands,0.2131943,0.21165878662042115,3,213.1943
2003,CMR,Cameroon,Sub-Saharan Africa,CHN,China,0.00573,0.0056887301740009616,4,5.7299999999999995
2003,CMR,Cameroon,Sub-Saharan Africa,KOR,"Korea, Rep.",0.000714664,0.0007095166947770023,5,0.714664
2003,COD,"Congo, Dem. Rep.",Sub-Saharan Africa,USA,United States,0.055,0.5316416382985795,1,55.0
2003,COD,"Congo, Dem. Rep.",Sub-Saharan Africa,NLD,Netherlands,0.04546798,0.43950311595140085,2,45.46798
2003,COD,"Congo, Dem. Rep.",Sub-Saharan Africa,KOR,"Korea, Rep.",0.0026416,0.025534264576900504,3,2.6416
2003,COD,"Congo, Dem. Rep.",Sub-Saharan Africa,CHN,China,0.0002399999999999,0.0023198907853019257,4,0.2399999999999
2003,COD,"Congo, Dem. Rep.",Sub-Saharan Africa,PRT,Portugal,0.00010356595,0.0010010903878172504,5,0.10356595
2003,COG,"Congo, Rep.",Sub-Saharan Africa,FRA,France,0.5494047000000001,0.8774044587603097,1,549.4047
2003,COG,"Congo, Rep.",Sub-Saharan Africa,USA,United States,0.045,0.07186542205447811,2,45.0
2003,COG,"Congo, Rep.",Sub-Saharan Africa,NLD,Netherlands,0.031701286,0.05062725106799374,3,31.701286000000003
2003,COG,"Congo, Rep.",Sub-Saharan Africa,PRT,Portugal,6.441297e-05,0.00010286811721849861,4,0.06441297
2003,COK,Cook Islands,,AUS,Australia,0.018,1.0,1,18.0
2003,COL,Colombia,Latin America & Caribbean,GBR,United Kingdom,4.343962,0.47648239578938995,1,4343.962
2003,COL,Colombia,Latin America & Caribbean,USA,United States,2.773,0.3041660317295543,2,2773.0
2003,COL,Colombia,Latin America & Caribbean,CHE,Switzerland,0.64750586,0.07102390478104303,3,647.50586
2003,COL,Colombia,Latin America & Caribbean,DEU,Germany,0.56834973,0.06234139271859489,4,568.34973
2003,COL,Colombia,Latin America & Caribbean,NLD,Netherlands,0.30299356,0.03323488957259669,5,302.99356
2003,COL,Colombia,,OTH,Others,0.48092020961999987,0.05275138540882106,6,480.92020961999987
2003,COM,Comoros,Sub-Saharan Africa,BRA,Brazil,0.001071,1.0,1,1.071
2003,CPV,Cabo Verde,Sub-Saharan Africa,PRT,Portugal,0.13754695,0.9994695536511967,1,137.54695
2003,CPV,Cabo Verde,Sub-Saharan Africa,BRA,Brazil,7.3e-05,0.000530446348803353,2,0.073
2003,CRI,Costa Rica,Latin America & Caribbean,USA,United States,0.84,0.5626530456963607,1,840.0
2003,CRI,Costa Rica,Latin America & Caribbean,CHE,Switzerland,0.32468268,0.2174805937938772,2,324.68268
2003,CRI,Costa Rica,Latin America & Caribbean,NLD,Netherlands,0.12238464,0.08197629814577696,3,122.38464
2003,CRI,Costa Rica,Latin America & Caribbean,CAN,Canada,0.07660167,0.051309717774913735,4,76.60167
2003,CRI,Costa Rica,Latin America & Caribbean,DEU,Germany,0.07577997,0.05075932252771291,5,75.77997
2003,CRI,Costa Rica,,OTH,Others,0.05347817587,0.03582102206135848,6,53.47817587
