year,ecode_dest,economy_dest,ecode_source,economy_source,value,share,rank
2000,HKG,"Hong Kong SAR, China",NLD,Netherlands,203.9800995,0.02862809233587415,4
2000,HKG,"Hong Kong SAR, China",FRA,France,163.0735213,0.022886957290225954,5
2000,HKG,"Hong Kong SAR, China",OTH,Others,478.357073908,0.06713620845820206,6
2000,HND,Honduras,USA,United States,59.0,0.9557107627156056,1
2000,HND,Honduras,CRI,Costa Rica,2.33,0.0377424758835146,2
2000,HND,Honduras,SWE,Sweden,0.404158808,0.00654676140087983,3
2000,HRV,Croatia,DEU,Germany,195.9038143,0.41754792190158674,1
2000,HRV,Croatia,AUT,Austria,128.9847061,0.2749170361056208,2
2000,HRV,Croatia,ITA,Italy,125.3077207,0.2670799369755275,3
2000,HRV,Croatia,CHE,Switzerland,9.651595178,0.02057133764347168,4
2000,HRV,Croatia,FRA,France,4.606596646,0.009818465574287286,5
2000,HRV,Croatia,OTH,Others,4.722406486000001,0.01006530179950598,6
2000,HTI,Haiti,DEU,Germany,0.106873042,1.0,1
2000,HUN,Hungary,DEU,Germany,1083.559978,0.30564328945009217,1
2000,HUN,Hungary,GBR,United Kingdom,823.0813807,0.23216924377975834,2
2000,HUN,Hungary,NLD,Netherlands,543.5784043,0.15332892958167574,3
2000,HUN,Hungary,AUT,Austria,355.6292611,0.1003135030770855,4
2000,HUN,Hungary,FIN,Finland,244.9834163,0.06910326953645876,5
2000,HUN,Hungary,OTH,Others,494.345927329,0.1394417645749295,6
2000,IDN,Indonesia,USA,United States,683.0,0.35858341310307,1
2000,IDN,Indonesia,JPN,Japan,588.3171716,0.30887376190259525,2
2000,IDN,Indonesia,NLD,Netherlands,241.3856643,0.1267304471139764,3
2000,IDN,Indonesia,GBR,United Kingdom,184.5881038,0.0969110282266878,4
2000,IDN,Indonesia,KOR,"Korea, Rep.",74.93266,0.03934056951052985,5
2000,IDN,Indonesia,OTH,Others,132.493615437,0.06956078014314065,6
2000,IMN,Isle of Man,PRT,Portugal,15.70480929,0.9479703697899458,1
2000,IMN,Isle of Man,ISL,Iceland,0.861963038,0.05202963021005427,2
2000,IND,India,GBR,United Kingdom,434.235949,0.40748895327552614,1
2000,IND,India,JPN,Japan,174.4536723,0.16370810496990576,2
2000,IND,India,ITA,Italy,167.2369633,0.15693591302385373,3
2000,IND,India,USA,United States,92.0,0.08633321075254505,4
2000,IND,India,FRA,France,52.51520177,0.04928049980567214,5
2000,IND,India,OTH,Others,145.196792319,0.13625331817249717,6
2000,IRL,Ireland,USA,United States,9823.0,0.4408618085810988,1
2000,IRL,Ireland,GBR,United Kingdom,7079.407684,0.3177278301182091,2
2000,IRL,Ireland,SWE,Sweden,2593.198388,0.11638421371712002,3
2000,IRL,Ireland,CHE,Switzerland,771.6539163,0.034632265208053126,4
2000,IRL,Ireland,NLD,Netherlands,670.7204717,0.030102314996032747,5
2000,IRL,Ireland,OTH,Others,1343.378026495,0.06029156737948621,6
2000,IRN,"Iran, Islamic Rep.",ITA,Italy,1.226276027,0.9246009141655095,1
2000,IRN,"Iran, Islamic Rep.",PAK,Pakistan,0.1,0.07539908583449047,2
2000,ISL,Iceland,DEU,Germany,1.53860328,1.0,1
2000,ISR,Israel,USA,United States,467.0,0.44266211717151505,1
2000,ISR,Israel,NLD,Netherlands,200.8476138,0.19038036392624155,2
2000,ISR,Israel,SWE,Sweden,138.5835778,0.13136124187184448,3
2000,ISR,Israel,CHE,Switzerland,111.9111343,0.10607884292142132,4
2000,ISR,Israel,DEU,Germany,77.37055463,0.07333835871359778,5
2000,ISR,Israel,OTH,Others,59.267841525,0.05617907539537973,6
2000,ITA,Italy,USA,United States,6404.0,0.4769713387088829,1
2000,ITA,Italy,FRA,France,2708.678828,0.20174299917607247,2
2000,ITA,Italy,ESP,Spain,1350.654137,0.10059701934065911,3
2000,ITA,Italy,NLD,Netherlands,980.2837664,0.07301175208844377,4
2000,ITA,Italy,SWE,Sweden,641.6366522,0.04778924000070579,5
2000,ITA,Italy,OTH,Others,1341.129881556,0.09988765068523593,6
2000,JAM,Jamaica,USA,United States,228.0,0.990624284254946,1
2000,JAM,Jamaica,JPN,Japan,1.5867861,0.006894337037623672,2
2000,JAM,Jamaica,DEU,Germany,0.4671089,0.0020295149988228734,3
2000,JAM,Jamaica,COL,Colombia,0.104,0.00045186370860751917,4
2000,JEY,Jersey,PRT,Portugal,17.62023217,0.6191048350784689,1
2000,JEY,Jersey,ISR,Israel,7.892,0.2772934721460754,2
2000,JEY,Jersey,ISL,Iceland,2.94858928,0.10360169277545572,3
2000,JOR,Jordan,DEU,Germany,10.93237516,0.9169628545726789,1
2000,JOR,Jordan,KOR,"Korea, Rep.",0.99,0.08303714542732105,2
2000,JPN,Japan,USA,United States,4295.0,0.28663536073459733,1
2000,JPN,Japan,CAN,Canada,2484.664436,0.1658190190727089,2
2000,JPN,Japan,FRA,France,2464.529206,0.16447525448259853,3
2000,JPN,Japan,DEU,Germany,2316.604017,0.1546031730132741,4
2000,JPN,Japan,GBR,United Kingdom,2103.093969,0.14035415563750198,5
2000,JPN,Japan,OTH,Others,1320.3028865659999,0.0881130370593191,6
2000,KAZ,Kazakhstan,USA,United States,446.0,0.9279814149379861,1
2000,KAZ,Kazakhstan,DEU,Germany,23.63644739,0.0491797845136311,2
2000,KAZ,Kazakhstan,CHN,China,7.73,0.016083624075046262,3
2000,KAZ,Kazakhstan,CZE,Czechia,2.663322832,0.005541511412726467,4
2000,KAZ,Kazakhstan,BGR,Bulgaria,0.528837295,0.0011003389714934466,5
2000,KAZ,Kazakhstan,OTH,Others,0.054466,0.00011332608911661963,6
2000,KEN,Kenya,GBR,United Kingdom,207.2833624,0.6087375383842628,1
2000,KEN,Kenya,FRA,France,124.3781095,0.3652662873145206,2
2000,KEN,Kenya,CHE,Switzerland,5.506738353,0.01617186401609351,3
2000,KEN,Kenya,DEU,Germany,1.794730053,0.005270657238853617,4
2000,KEN,Kenya,PRT,Portugal,1.550580431,0.0045536530462695225,5
2000,KGZ,Kyrgyz Republic,DEU,Germany,11.89146858,0.9633424212750223,1
2000,KGZ,Kyrgyz Republic,KOR,"Korea, Rep.",0.35,0.028353928295562787,2
2000,KGZ,Kyrgyz Republic,LTU,Lithuania,0.1025,0.008303650429414815,3
2000,KHM,Cambodia,CHN,China,17.23,0.52761625226501,1
2000,KHM,Cambodia,MYS,Malaysia,9.608984211,0.2942458640441946,2
2000,KHM,Cambodia,KOR,"Korea, Rep.",3.57081,0.10934517642196287,3
2000,KHM,Cambodia,THA,Thailand,1.246515988,0.03817075414840256,4
2000,KHM,Cambodia,USA,United States,1.0,0.030621953120430062,5
2000,KOR,"Korea, Rep.",USA,United States,2338.0,0.3603028486508904,1
2000,KOR,"Korea, Rep.",DEU,Germany,1500.756403,0.23127750518903495,2
2000,KOR,"Korea, Rep.",JPN,Japan,1081.983947,0.1667416160387656,3
2000,KOR,"Korea, Rep.",NLD,Netherlands,841.1645476,0.12962959054081158,4
2000,KOR,"Korea, Rep.",FRA,France,337.2028745,0.05196542183730483,5
2000,KOR,"Korea, Rep.",OTH,Others,389.877837518,0.060083017743192635,6
2000,KWT,Kuwait,USA,United States,154.0,0.9840110768642473,1
2000,KWT,Kuwait,DEU,Germany,2.502303298,0.01598892313575284,2
2000,LAO,Lao PDR,CHN,China,24.4,0.8761131760533347,1
2000,LAO,Lao PDR,SWE,Sweden,1.362985471,0.04893973483247378,2
2000,LAO,Lao PDR,THA,Thailand,1.07200375,0.03849166435055676,3
2000,LAO,Lao PDR,DEU,Germany,1.015293901,0.036455424763634836,4
2000,LBN,Lebanon,FRA,France,32.24617652,0.5147375651549709,1
2000,LBN,Lebanon,USA,United States,24.0,0.38310593369285767,2
2000,LBN,Lebanon,JPN,Japan,5.4470375,0.08694968280406289,3
